date,entity,currency,account_type,balance
2025-01-05,Entity B,JPY,payable,1045075.49
2025-01-05,Entity B,CAD,payable,1082405.84
2025-01-05,Entity C,USD,payable,1090153.18
2025-01-05,Entity C,EUR,payable,1112021.6
2025-01-05,Entity C,GBP,payable,1088790.82
2025-01-05,Entity C,JPY,payable,1023585.93
2025-01-05,Entity C,CAD,payable,1067441.19
2025-01-06,Entity A,USD,payable,1084393.17
2025-01-06,Entity A,EUR,payable,1109069.27
2025-01-06,Entity A,GBP,payable,1050702.67
2025-01-06,Entity A,JPY,payable,1162914.13
2025-01-06,Entity A,CAD,payable,999629.21
2025-01-06,Entity B,USD,payable,1052860.13
2025-01-06,Entity B,EUR,payable,1072086.79
2025-01-06,Entity B,GBP,payable,1067378.17
2025-01-06,Entity B,JPY,payable,1026122.44
2025-01-06,Entity B,CAD,payable,1093322.61
2025-01-06,Entity C,USD,payable,1090251.9
2025-01-06,Entity C,EUR,payable,1077326.59
2025-01-06,Entity C,GBP,payable,1088681.89
2025-01-06,Entity C,JPY,payable,1058457.08
2025-01-06,Entity C,CAD,payable,1010713.62
2025-01-07,Entity A,USD,payable,1071882.99
2025-01-07,Entity A,EUR,payable,1106830.77
2025-01-07,Entity A,GBP,payable,1107058.37
2025-01-07,Entity A,JPY,payable,1102203.75
2025-01-07,Entity A,CAD,payable,1122496.92
2025-01-07,Entity B,USD,payable,1077302.75
2025-01-07,Entity B,EUR,payable,1101615.83
2025-01-07,Entity B,GBP,payable,1123432.3
2025-01-07,Entity B,JPY,payable,803486.76
2025-01-07,Entity B,CAD,payable,1050815.63
2025-01-07,Entity C,USD,payable,1129338.91
2025-01-07,Entity C,EUR,payable,765497.57
2025-01-07,Entity C,GBP,payable,1109834.83
2025-01-07,Entity C,JPY,payable,1052423.28
2025-01-07,Entity C,CAD,payable,1100294.53
2025-01-08,Entity A,USD,payable,1217268.49
2025-01-08,Entity A,EUR,payable,1179517.82
2025-01-08,Entity A,GBP,payable,1146479.18
2025-01-08,Entity A,JPY,payable,1179923.29
2025-01-08,Entity A,CAD,payable,1104002.48
2025-01-08,Entity B,USD,payable,1126951.43
2025-01-08,Entity B,EUR,payable,1111410.63
2025-01-08,Entity B,GBP,payable,1173561.16
2025-01-08,Entity B,JPY,payable,1183342.42
2025-01-08,Entity B,CAD,payable,1148625.24
2025-01-08,Entity C,USD,payable,1119861.1
2025-01-08,Entity C,EUR,payable,1153988.32
2025-01-08,Entity C,GBP,payable,1135315.09
2025-01-08,Entity C,JPY,payable,1122931.46
2025-01-08,Entity C,CAD,payable,1168338.03
2025-01-09,Entity A,USD,payable,1172168.48
2025-01-09,Entity A,EUR,payable,1139834.18
2025-01-09,Entity A,GBP,payable,1148723.59
2025-01-09,Entity A,JPY,payable,1138357.75
2025-01-09,Entity A,CAD,payable,1212388.65
2025-01-09,Entity B,USD,payable,1208504.39
2025-01-09,Entity B,EUR,payable,1206508.98
2025-01-09,Entity B,GBP,payable,1225997.44
2025-01-09,Entity B,JPY,payable,1250166.53
2025-01-09,Entity B,CAD,payable,1178797.51
2025-01-09,Entity C,USD,payable,1218747.27
2025-01-09,Entity C,EUR,payable,1139303.55
2025-01-09,Entity C,GBP,payable,1257636.56
2025-01-09,Entity C,JPY,payable,1152694.92
2025-01-09,Entity C,CAD,payable,1174084.93
2025-01-10,Entity A,USD,payable,1184445.77
2025-01-10,Entity A,EUR,payable,989517.32
2025-01-10,Entity A,GBP,payable,1209657.18
2025-01-10,Entity A,JPY,payable,1192072.7
2025-01-10,Entity A,CAD,payable,1235806.89
2025-01-10,Entity B,USD,payable,1212589.93
2025-01-10,Entity B,EUR,payable,994407.83
2025-01-10,Entity B,GBP,payable,1230323.38
2025-01-10,Entity B,JPY,payable,1313723.03
2025-01-10,Entity B,CAD,payable,1176149.78
2025-01-10,Entity C,USD,payable,1246669.44
2025-01-10,Entity C,EUR,payable,1239525.11
2025-01-10,Entity C,GBP,payable,1196731.15
2025-01-10,Entity C,JPY,payable,1264796.19
2025-01-10,Entity C,CAD,payable,1192137.75
2025-01-11,Entity A,USD,payable,1149501.18
2025-01-11,Entity A,EUR,payable,1025079.64
2025-01-11,Entity A,GBP,payable,1180297.96
2025-01-11,Entity A,JPY,payable,1110916.44
2025-01-11,Entity A,CAD,payable,1141907.99
2025-01-11,Entity B,USD,payable,1122888.05
2025-01-11,Entity B,EUR,payable,1149287.57
2025-01-11,Entity B,GBP,payable,1181692.04
2025-01-11,Entity B,JPY,payable,1164382.5
2025-01-11,Entity B,CAD,payable,1192322.49
2025-01-11,Entity C,USD,payable,1214562.02
2025-01-11,Entity C,EUR,payable,1149185.0
2025-01-11,Entity C,GBP,payable,1144794.15
2025-01-11,Entity C,JPY,payable,1202245.94
2025-01-11,Entity C,CAD,payable,1205418.73
2025-01-12,Entity A,USD,payable,1123862.33
2025-01-12,Entity A,EUR,payable,1056151.55
2025-01-12,Entity A,GBP,payable,1111144.9
2025-01-12,Entity A,JPY,payable,1098617.52
2025-01-12,Entity A,CAD,payable,1136339.86
2025-01-12,Entity B,USD,payable,1071323.82
2025-01-12,Entity B,EUR,payable,1027574.29
2025-01-12,Entity B,GBP,payable,1121848.17
2025-01-12,Entity B,JPY,payable,991903.96
2025-01-12,Entity B,CAD,payable,1064978.16
2025-01-12,Entity C,USD,payable,1053310.88
2025-01-12,Entity C,EUR,payable,1053041.31
2025-01-12,Entity C,GBP,payable,1064277.44
2025-01-12,Entity C,JPY,payable,1142933.64
2025-01-12,Entity C,CAD,payable,1127060.92
2025-01-13,Entity A,USD,payable,1029202.89
2025-01-13,Entity A,EUR,payable,1084617.05
2025-01-13,Entity A,GBP,payable,996780.23
2025-01-13,Entity A,JPY,payable,991340.78
2025-01-13,Entity A,CAD,payable,1073815.98
2025-01-13,Entity B,USD,payable,876135.05
2025-01-13,Entity B,EUR,payable,1070607.73
2025-01-13,Entity B,GBP,payable,1029210.56
2025-01-13,Entity B,JPY,payable,1015371.71
2025-01-13,Entity B,CAD,payable,828039.34
2025-01-13,Entity C,USD,payable,1015335.08
2025-01-13,Entity C,EUR,payable,1048415.17
2025-01-13,Entity C,GBP,payable,1111358.71
2025-01-13,Entity C,JPY,payable,1054596.12
2025-01-13,Entity C,CAD,payable,1058484.3
2025-01-14,Entity A,USD,payable,1001725.26
2025-01-14,Entity A,EUR,payable,1047239.82
2025-01-14,Entity A,GBP,payable,1028712.98
2025-01-14,Entity A,JPY,payable,668077.19
2025-01-14,Entity A,CAD,payable,1056218.0
2025-01-14,Entity B,USD,payable,1009141.76
2025-01-14,Entity B,EUR,payable,1034508.62
2025-01-14,Entity B,GBP,payable,1104327.31
2025-01-14,Entity B,JPY,payable,1148897.35
2025-01-14,Entity B,CAD,payable,1048769.53
2025-01-14,Entity C,USD,payable,1017172.74
2025-01-14,Entity C,EUR,payable,1045880.83
2025-01-14,Entity C,GBP,payable,1060006.82
2025-01-14,Entity C,JPY,payable,1011673.9
2025-01-14,Entity C,CAD,payable,1096309.06
2025-01-15,Entity A,USD,payable,1051589.58
2025-01-15,Entity A,EUR,payable,1062296.48
2025-01-15,Entity A,GBP,payable,1069023.72
2025-01-15,Entity A,JPY,payable,1059250.22
2025-01-15,Entity A,CAD,payable,886896.25
2025-01-15,Entity B,USD,payable,1017696.63
2025-01-15,Entity B,EUR,payable,990422.09
2025-01-15,Entity B,GBP,payable,993498.28
2025-01-15,Entity B,JPY,payable,1084715.04
2025-01-15,Entity B,CAD,payable,1079889.16
2025-01-15,Entity C,USD,payable,818479.46
2025-01-15,Entity C,EUR,payable,1045905.51
2025-01-15,Entity C,GBP,payable,998718.72
2025-01-15,Entity C,JPY,payable,1026902.77
2025-01-15,Entity C,CAD,payable,1070208.26
2025-01-16,Entity A,USD,payable,1092873.97
2025-01-16,Entity A,EUR,payable,1047151.21
2025-01-16,Entity A,GBP,payable,1056045.92
2025-01-16,Entity A,JPY,payable,998194.94
2025-01-16,Entity A,CAD,payable,1044628.72
2025-01-16,Entity B,USD,payable,1094525.22
2025-01-16,Entity B,EUR,payable,1081918.09
2025-01-16,Entity B,GBP,payable,1078936.52
2025-01-16,Entity B,JPY,payable,1060900.84
2025-01-16,Entity B,CAD,payable,1059192.42
2025-01-16,Entity C,USD,payable,1032497.04
2025-01-16,Entity C,EUR,payable,1086863.03
2025-01-16,Entity C,GBP,payable,1075748.81
2025-01-16,Entity C,JPY,payable,1078590.64
2025-01-16,Entity C,CAD,payable,1037868.5
2025-01-17,Entity A,USD,payable,953975.2
2025-01-17,Entity A,EUR,payable,1083995.03
2025-01-17,Entity A,GBP,payable,1020955.42
2025-01-17,Entity A,JPY,payable,1005597.89
2025-01-17,Entity A,CAD,payable,1067848.08
2025-01-17,Entity B,USD,payable,1024428.42
2025-01-17,Entity B,EUR,payable,1082506.38
2025-01-17,Entity B,GBP,payable,1064789.16
2025-01-17,Entity B,JPY,payable,1067451.69
2025-01-17,Entity B,CAD,payable,985470.69
2025-01-17,Entity C,USD,payable,1088586.68
2025-01-17,Entity C,EUR,payable,1050558.94
2025-01-17,Entity C,GBP,payable,1025337.84
2025-01-17,Entity C,JPY,payable,1045844.46
2025-01-17,Entity C,CAD,payable,969059.51
2025-01-18,Entity A,USD,payable,994968.64
2025-01-18,Entity A,EUR,payable,937447.67
2025-01-18,Entity A,GBP,payable,924515.72
2025-01-18,Entity A,JPY,payable,917728.16
2025-01-18,Entity A,CAD,payable,1023130.06
2025-01-18,Entity B,USD,payable,953451.99
2025-01-18,Entity B,EUR,payable,1039971.64
2025-01-18,Entity B,GBP,payable,957190.47
2025-01-18,Entity B,JPY,payable,910328.21
2025-01-18,Entity B,CAD,payable,933961.55
2025-01-18,Entity C,USD,payable,1028054.99
2025-01-18,Entity C,EUR,payable,972386.6
2025-01-18,Entity C,GBP,payable,956691.04
2025-01-18,Entity C,JPY,payable,985023.26
2025-01-18,Entity C,CAD,payable,998693.84
2025-01-19,Entity A,USD,payable,944895.14
2025-01-19,Entity A,EUR,payable,958139.16
2025-01-19,Entity A,GBP,payable,885808.44
2025-01-19,Entity A,JPY,payable,847157.28
2025-01-19,Entity A,CAD,payable,883660.58
2025-01-19,Entity B,USD,payable,910610.41
2025-01-19,Entity B,EUR,payable,861648.83
2025-01-19,Entity B,GBP,payable,861913.15
2025-01-19,Entity B,JPY,payable,913950.7
2025-01-19,Entity B,CAD,payable,898253.09
2025-01-19,Entity C,USD,payable,901511.07
2025-01-19,Entity C,EUR,payable,869859.37
2025-01-19,Entity C,GBP,payable,890983.16
2025-01-19,Entity C,JPY,payable,863229.86
2025-01-19,Entity C,CAD,payable,935807.12
2025-01-20,Entity A,USD,payable,886642.57
2025-01-20,Entity A,EUR,payable,771385.09
2025-01-20,Entity A,GBP,payable,808052.17
2025-01-20,Entity A,JPY,payable,785371.43
2025-01-20,Entity A,CAD,payable,819231.64
2025-01-20,Entity B,USD,payable,841895.08
2025-01-20,Entity B,EUR,payable,787246.79
2025-01-20,Entity B,GBP,payable,808358.21
2025-01-20,Entity B,JPY,payable,805074.31
2025-01-20,Entity B,CAD,payable,853523.29
2025-01-20,Entity C,USD,payable,848006.37
2025-01-20,Entity C,EUR,payable,816363.1
2025-01-20,Entity C,GBP,payable,852305.44
2025-01-20,Entity C,JPY,payable,823365.4
2025-01-20,Entity C,CAD,payable,834366.4
2025-01-21,Entity A,USD,payable,906124.38
2025-01-21,Entity A,EUR,payable,892804.74
2025-01-21,Entity A,GBP,payable,787203.05
2025-01-21,Entity A,JPY,payable,872375.6
2025-01-21,Entity A,CAD,payable,871642.16
2025-01-21,Entity B,USD,payable,793255.77
2025-01-21,Entity B,EUR,payable,871937.41
2025-01-21,Entity B,GBP,payable,900703.58
2025-01-21,Entity B,JPY,payable,794284.51
2025-01-21,Entity B,CAD,payable,802486.19
2025-01-21,Entity C,USD,payable,879892.76
2025-01-21,Entity C,EUR,payable,850046.11
2025-01-21,Entity C,GBP,payable,861245.35
2025-01-21,Entity C,JPY,payable,852809.87
2025-01-21,Entity C,CAD,payable,854814.14
2025-01-22,Entity A,USD,payable,821082.64
2025-01-22,Entity A,EUR,payable,916034.23
2025-01-22,Entity A,GBP,payable,920925.12
2025-01-22,Entity A,JPY,payable,864965.89
2025-01-22,Entity A,CAD,payable,872402.44
2025-01-22,Entity B,USD,payable,812897.22
2025-01-22,Entity B,EUR,payable,894711.71
2025-01-22,Entity B,GBP,payable,897023.82
2025-01-22,Entity B,JPY,payable,871653.88
2025-01-22,Entity B,CAD,payable,919115.66
2025-01-22,Entity C,USD,payable,860778.43
2025-01-22,Entity C,EUR,payable,896725.76
2025-01-22,Entity C,GBP,payable,833354.95
2025-01-22,Entity C,JPY,payable,873199.44
2025-01-22,Entity C,CAD,payable,867167.35
2025-01-23,Entity A,USD,payable,924343.92
2025-01-23,Entity A,EUR,payable,900550.53
2025-01-23,Entity A,GBP,payable,708330.37
2025-01-23,Entity A,JPY,payable,948373.49
2025-01-23,Entity A,CAD,payable,982430.12
2025-01-23,Entity B,USD,payable,895633.76
2025-01-23,Entity B,EUR,payable,915963.91
2025-01-23,Entity B,GBP,payable,911861.37
2025-01-23,Entity B,JPY,payable,978061.19
2025-01-23,Entity B,CAD,payable,966946.33
2025-01-23,Entity C,USD,payable,947632.84
2025-01-23,Entity C,EUR,payable,876401.91
2025-01-23,Entity C,GBP,payable,929698.93
2025-01-23,Entity C,JPY,payable,938049.27
2025-01-23,Entity C,CAD,payable,687875.46
2025-01-24,Entity A,USD,payable,892896.71
2025-01-24,Entity A,EUR,payable,925030.26
2025-01-24,Entity A,GBP,payable,899086.99
2025-01-24,Entity A,JPY,payable,954999.47
2025-01-24,Entity A,CAD,payable,987207.24
2025-01-24,Entity B,USD,payable,904515.26
2025-01-24,Entity B,EUR,payable,937293.57
2025-01-24,Entity B,GBP,payable,947704.79
2025-01-24,Entity B,JPY,payable,946597.48
2025-01-24,Entity B,CAD,payable,930755.6
2025-01-24,Entity C,USD,payable,957424.69
2025-01-24,Entity C,EUR,payable,947007.35
2025-01-24,Entity C,GBP,payable,878210.89
2025-01-24,Entity C,JPY,payable,962483.63
2025-01-24,Entity C,CAD,payable,963209.02
2025-01-25,Entity A,USD,payable,872043.1
2025-01-25,Entity A,EUR,payable,904092.06
2025-01-25,Entity A,GBP,payable,929907.71
2025-01-25,Entity A,JPY,payable,894201.99
2025-01-25,Entity A,CAD,payable,945493.67
2025-01-25,Entity B,USD,payable,997129.45
2025-01-25,Entity B,EUR,payable,871135.11
2025-01-25,Entity B,GBP,payable,847332.76
2025-01-25,Entity B,JPY,payable,914727.29
2025-01-25,Entity B,CAD,payable,931437.05
2025-01-25,Entity C,USD,payable,893339.89
2025-01-25,Entity C,EUR,payable,960704.97
2025-01-25,Entity C,GBP,payable,849030.31
2025-01-25,Entity C,JPY,payable,930291.29
2025-01-25,Entity C,CAD,payable,878340.11
2025-01-26,Entity A,USD,payable,932838.28
2025-01-26,Entity A,EUR,payable,943763.78
2025-01-26,Entity A,GBP,payable,833396.9
2025-01-26,Entity A,JPY,payable,842080.88
2025-01-26,Entity A,CAD,payable,898446.68
2025-01-26,Entity B,USD,payable,848577.94
2025-01-26,Entity B,EUR,payable,862246.72
2025-01-26,Entity B,GBP,payable,865078.7
2025-01-26,Entity B,JPY,payable,787276.24
2025-01-26,Entity B,CAD,payable,863509.66
2025-01-26,Entity C,USD,payable,836474.05
2025-01-26,Entity C,EUR,payable,844338.25
2025-01-26,Entity C,GBP,payable,921808.45
2025-01-26,Entity C,JPY,payable,813802.89
2025-01-26,Entity C,CAD,payable,896591.37
2025-01-27,Entity A,USD,payable,675575.7
2025-01-27,Entity A,EUR,payable,839642.19
2025-01-27,Entity A,GBP,payable,872540.78
2025-01-27,Entity A,JPY,payable,809278.21
2025-01-27,Entity A,CAD,payable,856261.35
2025-01-27,Entity B,USD,payable,857429.01
2025-01-27,Entity B,EUR,payable,823058.28
2025-01-27,Entity B,GBP,payable,864031.78
2025-01-27,Entity B,JPY,payable,810520.05
2025-01-27,Entity B,CAD,payable,806149.64
2025-01-27,Entity C,USD,payable,854816.83
2025-01-27,Entity C,EUR,payable,784442.38
2025-01-27,Entity C,GBP,payable,765040.49
2025-01-27,Entity C,JPY,payable,872145.93
2025-01-27,Entity C,CAD,payable,892791.4
2025-01-28,Entity A,USD,payable,867850.2
2025-01-28,Entity A,EUR,payable,859799.5
2025-01-28,Entity A,GBP,payable,926743.73
2025-01-28,Entity A,JPY,payable,840700.79
2025-01-28,Entity A,CAD,payable,831987.42
2025-01-28,Entity B,USD,payable,914827.78
2025-01-28,Entity B,EUR,payable,886883.85
2025-01-28,Entity B,GBP,payable,929117.39
2025-01-28,Entity B,JPY,payable,800911.69
2025-01-28,Entity B,CAD,payable,830495.36
2025-01-28,Entity C,USD,payable,887095.61
2025-01-28,Entity C,EUR,payable,903229.27
2025-01-28,Entity C,GBP,payable,920402.21
2025-01-28,Entity C,JPY,payable,593843.86
2025-01-28,Entity C,CAD,payable,893108.53
2025-01-29,Entity A,USD,payable,1043651.25
2025-01-29,Entity A,EUR,payable,916153.97
2025-01-29,Entity A,GBP,payable,794484.14
2025-01-29,Entity A,JPY,payable,924334.26
2025-01-29,Entity A,CAD,payable,919908.8
2025-01-29,Entity B,USD,payable,991142.13
2025-01-29,Entity B,EUR,payable,965873.7
2025-01-29,Entity B,GBP,payable,1031175.07
2025-01-29,Entity B,JPY,payable,950148.72
2025-01-29,Entity B,CAD,payable,978388.15
2025-01-29,Entity C,USD,payable,930203.25
2025-01-29,Entity C,EUR,payable,949873.78
2025-01-29,Entity C,GBP,payable,965619.48
2025-01-29,Entity C,JPY,payable,900300.71
2025-01-29,Entity C,CAD,payable,904684.55
2025-01-30,Entity A,USD,payable,1062917.51
2025-01-30,Entity A,EUR,payable,1033079.66
2025-01-30,Entity A,GBP,payable,1015206.07
2025-01-30,Entity A,JPY,payable,1009443.69
2025-01-30,Entity A,CAD,payable,1010983.58
2025-01-30,Entity B,USD,payable,1043425.16
2025-01-30,Entity B,EUR,payable,1056724.57
2025-01-30,Entity B,GBP,payable,955238.85
2025-01-30,Entity B,JPY,payable,1095436.5
2025-01-30,Entity B,CAD,payable,1092591.17
2025-01-30,Entity C,USD,payable,945696.94
2025-01-30,Entity C,EUR,payable,1082360.2
2025-01-30,Entity C,GBP,payable,1081131.89
2025-01-30,Entity C,JPY,payable,1038940.96
2025-01-30,Entity C,CAD,payable,987036.39
2025-01-31,Entity A,USD,payable,1123104.8
2025-01-31,Entity A,EUR,payable,1072846.43
2025-01-31,Entity A,GBP,payable,1104450.83
2025-01-31,Entity A,JPY,payable,1171263.73
2025-01-31,Entity A,CAD,payable,919128.36
2025-01-31,Entity B,USD,payable,1045820.29
2025-01-31,Entity B,EUR,payable,1046681.82
2025-01-31,Entity B,GBP,payable,1066171.64
2025-01-31,Entity B,JPY,payable,1042663.06
2025-01-31,Entity B,CAD,payable,1108541.12
2025-01-31,Entity C,USD,payable,1116833.72
2025-01-31,Entity C,EUR,payable,1073110.85
2025-01-31,Entity C,GBP,payable,1084025.19
2025-01-31,Entity C,JPY,payable,1024552.02
2025-01-31,Entity C,CAD,payable,1070508.61
2025-02-01,Entity A,USD,payable,1080011.59
2025-02-01,Entity A,EUR,payable,1186851.5
2025-02-01,Entity A,GBP,payable,1037541.1
2025-02-01,Entity A,JPY,payable,1140586.87
2025-02-01,Entity A,CAD,payable,1121894.13
2025-02-01,Entity B,USD,payable,1093245.23
2025-02-01,Entity B,EUR,payable,1152364.6
2025-02-01,Entity B,GBP,payable,1096904.0
2025-02-01,Entity B,JPY,payable,1097586.15
2025-02-01,Entity B,CAD,payable,1079894.95
2025-02-01,Entity C,USD,payable,1130962.53
2025-02-01,Entity C,EUR,payable,1125878.55
2025-02-01,Entity C,GBP,payable,1056992.69
2025-02-01,Entity C,JPY,payable,1029249.89
2025-02-01,Entity C,CAD,payable,1073900.55
2025-02-02,Entity A,USD,payable,1028575.93
2025-02-02,Entity A,EUR,payable,1058036.49
2025-02-02,Entity A,GBP,payable,1110075.0
2025-02-02,Entity A,JPY,payable,1042285.41
2025-02-02,Entity A,CAD,payable,1058864.54
2025-02-02,Entity B,USD,payable,1062898.38
2025-02-02,Entity B,EUR,payable,1094514.71
2025-02-02,Entity B,GBP,payable,970701.9
2025-02-02,Entity B,JPY,payable,1036309.46
2025-02-02,Entity B,CAD,payable,1069028.82
2025-02-02,Entity C,USD,payable,1108580.63
2025-02-02,Entity C,EUR,payable,1040901.37
2025-02-02,Entity C,GBP,payable,985515.36
2025-02-02,Entity C,JPY,payable,1085365.93
2025-02-02,Entity C,CAD,payable,1035162.98
2025-02-03,Entity A,USD,payable,1008485.45
2025-02-03,Entity A,EUR,payable,1031098.3
2025-02-03,Entity A,GBP,payable,1048691.1
2025-02-03,Entity A,JPY,payable,1031882.33
2025-02-03,Entity A,CAD,payable,967849.47
2025-02-03,Entity B,USD,payable,1091954.76
2025-02-03,Entity B,EUR,payable,1107067.11
2025-02-03,Entity B,GBP,payable,1082132.99
2025-02-03,Entity B,JPY,payable,1010564.69
2025-02-03,Entity B,CAD,payable,1048012.45
2025-02-03,Entity C,USD,payable,1055811.26
2025-02-03,Entity C,EUR,payable,1080023.89
2025-02-03,Entity C,GBP,payable,1082805.73
2025-02-03,Entity C,JPY,payable,1026705.16
2025-02-03,Entity C,CAD,payable,1059351.94
2025-02-04,Entity A,USD,payable,1110053.05
2025-02-04,Entity A,EUR,payable,1149994.73
2025-02-04,Entity A,GBP,payable,1119942.1
2025-02-04,Entity A,JPY,payable,1123324.1
2025-02-04,Entity A,CAD,payable,1095114.9
2025-02-04,Entity B,USD,payable,1148180.2
2025-02-04,Entity B,EUR,payable,1108152.35
2025-02-04,Entity B,GBP,payable,1057318.32
2025-02-04,Entity B,JPY,payable,1147896.63
2025-02-04,Entity B,CAD,payable,1119677.97
2025-02-04,Entity C,USD,payable,1074040.07
2025-02-04,Entity C,EUR,payable,1072582.12
2025-02-04,Entity C,GBP,payable,1103624.86
2025-02-04,Entity C,JPY,payable,1110289.23
2025-02-04,Entity C,CAD,payable,1099653.53
2025-02-05,Entity A,USD,payable,1170356.16
2025-02-05,Entity A,EUR,payable,1225902.11
2025-02-05,Entity A,GBP,payable,1200765.54
2025-02-05,Entity A,JPY,payable,1165529.23
2025-02-05,Entity A,CAD,payable,1195556.23
2025-02-05,Entity B,USD,payable,1116602.85
2025-02-05,Entity B,EUR,payable,1173820.89
2025-02-05,Entity B,GBP,payable,1230276.06
2025-02-05,Entity B,JPY,payable,1149181.97
2025-02-05,Entity B,CAD,payable,1123998.45
2025-02-05,Entity C,USD,payable,1131820.26
2025-02-05,Entity C,EUR,payable,1114318.49
2025-02-05,Entity C,GBP,payable,933530.81
2025-02-05,Entity C,JPY,payable,1191929.72
2025-02-05,Entity C,CAD,payable,1151634.13
2025-02-06,Entity A,USD,payable,1163473.38
2025-02-06,Entity A,EUR,payable,1219610.16
2025-02-06,Entity A,GBP,payable,1227259.01
2025-02-06,Entity A,JPY,payable,1199194.89
2025-02-06,Entity A,CAD,payable,1264603.77
2025-02-06,Entity B,USD,payable,1201530.81
2025-02-06,Entity B,EUR,payable,1262701.87
2025-02-06,Entity B,GBP,payable,1242239.68
2025-02-06,Entity B,JPY,payable,1255432.59
2025-02-06,Entity B,CAD,payable,1174426.33
2025-02-06,Entity C,USD,payable,1222300.77
2025-02-06,Entity C,EUR,payable,1216255.25
2025-02-06,Entity C,GBP,payable,1161488.11
2025-02-06,Entity C,JPY,payable,1262570.8
2025-02-06,Entity C,CAD,payable,1185672.33
2025-02-07,Entity A,USD,payable,1212891.25
2025-02-07,Entity A,EUR,payable,1196741.33
2025-02-07,Entity A,GBP,payable,1265321.41
2025-02-07,Entity A,JPY,payable,1176236.77
2025-02-07,Entity A,CAD,payable,1261988.95
2025-02-07,Entity B,USD,payable,1279054.52
2025-02-07,Entity B,EUR,payable,1258761.1
2025-02-07,Entity B,GBP,payable,1265779.1
2025-02-07,Entity B,JPY,payable,1267655.82
2025-02-07,Entity B,CAD,payable,1199296.99
2025-02-07,Entity C,USD,payable,1294663.36
2025-02-07,Entity C,EUR,payable,1218870.91
2025-02-07,Entity C,GBP,payable,1234618.45
2025-02-07,Entity C,JPY,payable,1223968.47
2025-02-07,Entity C,CAD,payable,1256935.64
2025-02-08,Entity A,USD,payable,1184089.82
